,Unnamed: 0,Unnamed: 0.1,BP_date,address_x,aff,affnet,apn,best_date,best_stat,comp_date,con_date,dbi_permit,dropped_out,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified,bp_duplicates,project_time_years,aff_address,address_y,Low Income Units,Placed in Service (PIS) Date ,iz_address,Total BMRs in this Building or Phase,Planning Approval Date,Completion Date,_merge,geometry,index_right,nhood,permit_time,bp_time,con_time,ptime_per_unit,bptime_per_unit,contime_per_unit,zone_class,year_start,first_year
0,0,0,2012-02-17,500 CAPP ST,0.0,0.0,3610032,2015-09-29,CONSTRUCTION,10/01/2015,2015-04-01,201007015845,False,2009-08-14,2009-08-14,2009-08-14,2015-09-29,CONSTRUCTION,"('2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2012-02-17', '2012-02-17', '2015-04-01', '2015-05-27', '2015-07-30', '2015-09-29')",2239.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2015,Under Construction,1.0,1.0,-122.418185864,37.7585623509,RTO-M,RTO-M,False,6.134246575342464,,,,,,,,,left_only,POINT (-122.418185864 37.7585623509),18,Mission,2.5123287671232877,3.1205479452054794,0.5013698630136987,2.5123287671232877,3.1205479452054794,0.5013698630136987,Mixed Residential,2009,2009
2,2,0,,1340 ALABAMA ST,0.0,0.0,4271008,2015-11-24,CONSTRUCTION,01/01/2016,2014-03-12,201312134188,False,2013-12-13,2013-12-13,2013-12-13,2015-11-24,CONSTRUCTION,"('2013-12-13', '2014-03-12', '2014-03-12', '2014-03-12', '2014-03-12', '2014-03-12', '2014-03-12', '2014-03-12', '2015-11-24')",749.0,"('BP FILED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,1.0,1.0,-122.41100541200001,37.7502255371,RH-2,RH-2,False,2.052054794520548,,,,,,,,,left_only,POINT (-122.411005412 37.7502255371),18,Mission,,,1.8082191780821917,,,1.8082191780821917,Conventional Residential,2013,2013
14,14,0,,829 YORK ST,0.0,0.0,4088024,2017-03-02,PL APPROVED,,,201602089074,False,2016-02-08,2016-02-08,2016-02-08,2017-03-02,PL APPROVED,"('2016-02-08', '2016-02-08', '2016-02-08', '2016-02-08', '2016-02-08', '2017-03-02')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'PL APPROVED')",2,2017,Proposed,1.0,1.0,-122.4084243774,37.7581825256,,,False,,,,,,,,,,left_only,POINT (-122.4084243774 37.7581825256),18,Mission,,,,,,,,2016,2016
17,17,0,2011-03-11,990 GUERRERO ST,0.0,0.0,3618071,2017-03-10,CONSTRUCTION,,2012-02-02,201002035833,False,2010-02-03,2010-02-03,2010-02-03,2017-03-10,CONSTRUCTION,"('2010-02-03', '2010-02-03', '2010-02-03', '2010-02-03', '2011-03-11', '2011-03-11', '2011-03-11', '2012-02-02', '2012-03-01', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2016-08-22', '2016-11-04', '2017-03-10', '2017-03-10')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,1.0,1.0,-122.4235458374,37.7553634644,RH-3,RH-3,False,,,,,,,,,,left_only,POINT (-122.4235458374 37.7553634644),18,Mission,1.0986301369863014,0.8986301369863013,,1.0986301369863014,0.8986301369863013,,Conventional Residential,2010,2010
29,29,0,,3081 22ND ST,,,3638088,2010-01-06,CONSTRUCTION,04/01/2010,2009-09-17,200710316965,False,2007-10-31,2009-09-17,2007-10-31,2010-01-06,CONSTRUCTION,"('2009-09-17', '2009-12-15', '2010-01-06')",883.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2010,Under Construction,3.0,3.0,-122.416133,37.75546,RH-3,RH-3,False,2.419178082191781,,,,,,,,,left_only,POINT (-122.416133 37.75546),18,Mission,,,0.536986301369863,,,0.17899543378995433,Conventional Residential,2007,2007
33,33,0,,2435-2445 16TH ST,6.0,6.0,3965021,2015-03-25,PL FILED,,,,True,2014-08-01,2015-03-25,2014-08-01,2015-03-25,PL FILED,"('2015-03-25', '2015-03-25', '2015-03-25')",,"('PL FILED', 'PL FILED', 'PL FILED')",3,2015,Proposed,53.0,53.0,-122.41111997700001,37.7653208742,UMU,UMU,True,,,,,,,,,,left_only,POINT (-122.411119977 37.7653208742),18,Mission,,,,,,,Other,2014,2014
57,57,0,,2507 FOLSOM ST,0.0,0.0,3613030,2016-03-02,PL FILED,,,,False,2016-03-02,2016-03-02,2016-03-02,2016-03-02,PL FILED,"('2016-03-02', '2016-03-02', '2016-03-02', '2016-03-02', '2016-03-02', '2016-03-02')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",2,2017,Proposed,6.0,6.0,-122.4142608643,37.7571296692,,,True,,,,,,,,,,left_only,POINT (-122.4142608643 37.7571296692),18,Mission,,,,,,,,2016,2016
59,59,0,,2799 24TH ST,0.0,0.0,4266035,2015-06-18,PL FILED,,,201608296214,False,2014-08-15,2015-06-18,2014-08-15,2015-06-18,PL FILED,"('2015-06-18', '2015-06-18', '2015-06-18', '2015-06-18', '2015-06-18', '2015-06-18', '2015-06-18', '2015-06-18', '2015-06-18')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",2,2017,Proposed,7.0,7.0,-122.40802001950001,37.7526473999,,,False,,,,,,,,,,left_only,POINT (-122.4080200195 37.7526473999),18,Mission,,,,,,,,2014,2014
68,68,0,,657 VALENCIA ST,0.0,0.0,3576061,2015-10-23,BP FILED,,,201510230626,False,2015-10-23,2015-10-23,2015-12-01,2015-10-23,BP FILED,"('2015-10-23', '2015-10-23', '2015-10-23', '2015-10-23', '2015-10-23', '2015-10-23', '2015-10-23')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,4.0,4.0,-122.4213638306,37.7624168396,,,False,,,,,,,,,,left_only,POINT (-122.4213638306 37.76241683960001),18,Mission,,,,,,,,2015,2015
81,81,0,2010-09-02,299 VALENCIA ST,4.0,,3532014,2012-02-21,CONSTRUCTION,04/01/2012,2011-03-04,200611097334,False,2006-11-09,2006-11-09,2006-11-09,2012-02-21,CONSTRUCTION,"('2006-11-09', '2006-11-09', '2006-11-09', '2006-11-09', '2010-09-02', '2010-09-02', '2011-03-04', '2011-06-03', '2011-07-08', '2012-02-02', '2012-02-21')",1970.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2012,Under Construction,44.0,44.0,-122.42211,37.768232,NCT-3,NCT-3,False,5.397260273972603,,,,,299 VALENCIA ST,4.0,11/06/2008,06/13/2012,both,POINT (-122.42211 37.768232),18,Mission,3.8164383561643835,0.5013698630136987,1.0794520547945206,0.08673723536737235,0.011394769613947697,0.024533001245330012,Nhb Commercial,2006,2006
