,Unnamed: 0,BP_date,address,apn,best_date,best_stat,comp_date,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified,project_time_years,geometry,index_right,nhood,zone_class
2042,11295,2009-07-14,55 WATERVILLE ST,5379029,2012-07-27,CONSTRUCTION,04/01/2013,2011-05-20,200712049630,2007-12-04,2009-07-14,2007-12-04,2012-07-27,CONSTRUCTION,"('2009-07-14', '2009-07-14', '2009-07-14', '2009-07-14', '2009-07-14', '2009-07-14', '2009-07-14', '2011-05-20', '2011-07-06', '2012-01-11', '2012-03-12', '2012-07-13', '2012-07-27', '2012-07-27', '2012-07-27')",1945.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2013,Under Construction,1.0,1.0,-122.402582,37.735288,RH-1,RH-1,5.328767123287672,POINT (-122.402582 37.735288),0,Bayview Hunters Point,Conventional Residential
1028,575,,2189 BAYSHORE BL,5066B007,2009-03-09,CONSTRUCTION,10/01/2009,2009-03-09,200604148997,2006-04-14,2009-03-09,2006-04-14,2009-03-09,CONSTRUCTION,"('2009-03-09',)",1266.0,"('CONSTRUCTION',)",3,2009,Under Construction,5.0,5.0,-122.40168,37.712178,M-1,M-1,3.4684931506849317,POINT (-122.40168 37.712178),0,Bayview Hunters Point,Industrial
1156,26951,2016-07-26,2 VESTA ST,5403001,2016-11-21,CONSTRUCTION,01/01/2017,2016-11-21,201509237900,2015-09-23,2015-09-23,2015-09-23,2016-11-21,CONSTRUCTION,"('2015-09-23', '2015-09-23', '2015-09-23', '2015-09-23', '2016-07-26', '2016-11-21')",466.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'CONSTRUCTION')",4,2016,Under Construction,1.0,1.0,-122.40036972799999,37.7312411613,RH-1,RH-1,1.2767123287671234,POINT (-122.400369728 37.7312411613),0,Bayview Hunters Point,Conventional Residential
1121,12215,2009-06-09,157 APOLLO ST,5405023,2013-05-10,CONSTRUCTION,07/01/2013,2013-04-09,200710105002,2007-10-10,2009-06-09,2007-10-10,2013-05-10,CONSTRUCTION,"('2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2013-04-09', '2013-05-10')",2091.0,"('BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'CONSTRUCTION', 'CONSTRUCTION')",2,2013,Under Construction,1.0,1.0,-122.398665,37.730762,RH-1,RH-1,5.728767123287671,POINT (-122.398665 37.730762),0,Bayview Hunters Point,Conventional Residential
1500,12792,2011-02-22,6600 THIRD STREET,5476009,2013-08-29,CONSTRUCTION,10/01/2013,2012-07-13,201007196949,2008-09-23,2008-09-23,2008-09-23,2013-08-29,CONSTRUCTION,"('2008-09-23', '2008-09-23', '2009-11-19', '2010-07-19', '2010-07-19', '2011-02-22', '2011-02-22', '2011-02-22', '2011-02-22', '2011-02-22', '2012-07-13', '2012-10-17', '2012-12-05', '2013-04-17', '2013-06-24', '2013-08-29')",1834.0,"('PL FILED', 'PL FILED', 'PL APPROVED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2013,Under Construction,30.0,30.0,-122.397787,37.718831,RM-1,RM-1,5.024657534246575,POINT (-122.397787 37.718831),0,Bayview Hunters Point,Industrial
1499,22793,,1987 OAKDALE AV,5319028,2016-03-23,CONSTRUCTION,04/01/2016,2016-03-23,201505126143.0,2015-05-12,2015-05-12,2015-05-12,2016-03-23,CONSTRUCTION,"('2015-05-12', '2015-05-12', '2015-05-12', '2016-03-23')",325.0,"('BP FILED', 'BP FILED', 'BP FILED', 'CONSTRUCTION')",1,2016,Under Construction,1.0,1.0,-122.397734,37.7384878582,RH-2,RH-2,0.8904109589041096,POINT (-122.397734 37.7384878582),0,Bayview Hunters Point,Conventional Residential
1653,3101,,1850 PALOU AV,5320024,2009-04-08,CONSTRUCTION,07/01/2010,2009-04-08,200511238930,2005-11-23,2009-04-08,2005-11-23,2009-04-08,CONSTRUCTION,"('2009-04-08', '2009-04-08', '2009-04-08', '2009-04-08')",1681.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2010,Under Construction,1.0,1.0,-122.395818,37.736944,RH-1,RH-1,4.605479452054794,POINT (-122.395818 37.736944),0,Bayview Hunters Point,Conventional Residential
1457,11294,2010-02-04,38 FLORA ST,5355010,2013-02-04,CONSTRUCTION,04/01/2013,2012-07-10,200808139097,2008-08-13,2008-08-13,2008-08-13,2013-02-04,CONSTRUCTION,"('2008-08-13', '2008-08-13', '2010-02-04', '2010-02-04', '2010-02-04', '2010-02-04', '2010-02-04', '2010-02-04', '2011-11-23', '2011-11-23', '2012-07-10', '2012-09-18', '2012-12-12', '2013-02-04')",1692.0,"('BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2013,Under Construction,1.0,1.0,-122.394453,37.732057,RH-1,RH-1,4.635616438356164,POINT (-122.394453 37.732057),0,Bayview Hunters Point,Conventional Residential
759,553,,5600 03RD ST,5421003,2008-12-12,CONSTRUCTION,10/01/2009,2008-12-12,200507278752,2005-07-27,2008-12-12,2005-07-27,2008-12-12,CONSTRUCTION,"('2008-12-12',)",1527.0,"('CONSTRUCTION',)",3,2009,Under Construction,124.0,124.0,-122.39378899999998,37.726979,M-1,M-1,4.183561643835616,POINT (-122.393789 37.726979),0,Bayview Hunters Point,Industrial
2105,27553,2014-03-19,56 LUCY ST,5410008,2015-05-26,CONSTRUCTION,01/01/2017,2014-06-19,201308235132,2013-08-23,2013-08-23,2013-08-23,2015-05-26,CONSTRUCTION,"('2013-08-23', '2013-08-23', '2014-03-19', '2014-06-19', '2014-07-15', '2015-01-14', '2015-05-26', '2015-05-26', '2015-05-26', '2015-05-26', '2015-05-26', '2015-05-26', '2015-05-26', '2015-05-26')",1227.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2016,Under Construction,1.0,1.0,-122.393718479,37.7300619959,RH-2,RH-2,3.361643835616438,POINT (-122.393718479 37.7300619959),0,Bayview Hunters Point,Conventional Residential
