,Unnamed: 0,BP_date,address,apn,best_date,best_stat,comp_date,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified,project_time_years,geometry,index_right,nhood,zone_class
120,28036,,1750 OAKDALE AV,5312014,2013-02-14,BP FILED,,,201302140247,2013-02-14,2013-02-14,2013-02-14,2013-02-14,BP FILED,"('2013-02-14', '2013-02-14', '2013-02-14', '2013-02-14', '2013-02-14', '2013-02-14', '2013-02-14', '2013-02-14', '2013-02-14', '2013-02-14', '2013-02-14', '2013-02-14', '2013-02-14', '2013-02-14', '2013-02-14', '2013-02-14', '2013-02-14')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2017,Proposed,2.0,2.0,-122.393000375,37.7364132781,RH-2,RH-2,,POINT (-122.393000375 37.7364132781),0,Bayview Hunters Point,Conventional Residential
370,26872,2014-04-25,1756 REVERE AV,5338018,2015-06-01,CONSTRUCTION,01/01/2017,2015-06-01,201310159297,2013-10-15,2013-10-15,2013-10-15,2015-06-01,CONSTRUCTION,"('2013-10-15', '2013-10-15', '2014-04-25', '2014-08-28', '2014-08-28', '2015-06-01', '2015-06-01', '2015-06-01', '2015-06-01', '2015-06-01', '2015-06-01', '2015-06-01', '2015-06-01')",1174.0,"('BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2016,Under Construction,1.0,1.0,-122.39275331799999,37.7334393472,RH-2,RH-2,3.2164383561643834,POINT (-122.392753318 37.7334393472),0,Bayview Hunters Point,Conventional Residential
441,28013,,1270 FITZGERALD AV,4913010,2015-12-15,BP FILED,,,201512155191,2015-12-15,2015-12-15,2015-12-15,2015-12-15,BP FILED,"('2015-12-15', '2015-12-15', '2015-12-15', '2015-12-15', '2015-12-15', '2015-12-15')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2017,Proposed,1.0,1.0,-122.39253780700001,37.7219785978,RM-1,RM-1,,POINT (-122.392537807 37.7219785978),0,Bayview Hunters Point,Industrial
888,28217,,1710 OAKDALE AV,5312049,2010-04-26,BP FILED,,,201004261017,2010-04-26,2010-04-26,2010-04-26,2010-04-26,BP FILED,"('2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26', '2010-04-26')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2017,Proposed,1.0,1.0,-122.39233179600001,37.7360344375,C-2,C-2,,POINT (-122.392331796 37.7360344375),0,Bayview Hunters Point,Standard Commercial
923,29372,,1083 HOLLISTER AV,4965029,2015-11-10,BP FILED,,,201511102331,2015-11-10,2015-11-10,2015-11-10,2015-11-10,BP FILED,"('2015-11-10', '2015-11-10', '2015-11-10', '2015-11-10', '2015-11-10', '2015-11-10')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2017,Proposed,1.0,1.0,-122.39228350299999,37.7193339273,RH-1,RH-1,,POINT (-122.392283503 37.7193339273),0,Bayview Hunters Point,Conventional Residential
189,18560,,833-881 JAMESTOWN,4991277,2007-09-17,CONSTRUCTION,04/01/2015,2007-09-17,9924080S,1991-02-19,2007-09-17,1991-02-19,2007-09-17,CONSTRUCTION,"('2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17')",8807.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2015,Under Construction,14.0,14.0,-122.392222474,37.7171741763,RH-2,RH-2,24.12876712328767,POINT (-122.392222474 37.7171741763),0,Bayview Hunters Point,Conventional Residential
1254,28223,,1734 NEWCOMB AV,5305010,2010-09-24,BP FILED,,,201009241613,2010-06-10,2010-06-10,2010-06-10,2010-09-24,BP FILED,"('2010-06-10', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24', '2010-09-24')",,"('PL FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2017,Proposed,1.0,1.0,-122.392156239,37.736879610900004,RH-2,RH-2,,POINT (-122.392156239 37.7368796109),0,Bayview Hunters Point,Conventional Residential
651,26820,,1631 OAKDALE AV,5322032,2015-10-16,BP FILED,,,201510169944,2015-10-16,2015-10-16,2015-10-16,2015-10-16,BP FILED,"('2015-10-16', '2015-10-16', '2015-10-16', '2015-10-16', '2015-10-16')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",4,2016,Proposed,2.0,2.0,-122.39149387299999,37.7349523527,RH-2,RH-2,,POINT (-122.391493873 37.7349523527),0,Bayview Hunters Point,Conventional Residential
1791,605,,4800 03RD ST,5322045,2009-09-21,CONSTRUCTION,10/01/2009,2009-09-21,200703146192,2007-03-14,2009-09-21,2007-03-14,2009-09-21,CONSTRUCTION,"('2009-09-21',)",932.0,"('CONSTRUCTION',)",3,2009,Under Construction,18.0,18.0,-122.390887,37.734764,NC-3,NC-3,2.5534246575342467,POINT (-122.390887 37.73476400000001),0,Bayview Hunters Point,Standard Commercial
1208,28216,,1701 LA SALLE AV,5297001,2016-12-29,BP FILED,,,201612296139,2016-12-29,2016-12-29,2016-12-29,2016-12-29,BP FILED,"('2016-12-29', '2016-12-29')",,"('BP FILED', 'BP FILED')",1,2017,Proposed,1.0,1.0,-122.390803303,37.7374384096,RH-2,RH-2,,POINT (-122.390803303 37.7374384096),0,Bayview Hunters Point,Conventional Residential
1384,28848,2013-12-12,4616 03RD ST,5306025,2016-11-01,CONSTRUCTION,,2015-07-30,201303212727,2012-11-08,2012-11-08,2012-11-08,2016-11-01,CONSTRUCTION,"('2012-11-08', '2013-03-21', '2013-03-21', '2013-03-21', '2013-12-12', '2013-12-12', '2013-12-12', '2013-12-12', '2014-10-14', '2014-10-14', '2015-07-30', '2015-08-19', '2015-08-19', '2015-08-19', '2015-08-19', '2015-08-19', '2016-11-01', '2016-11-01')",,"('PL FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2017,Under Construction,1.0,1.0,-122.39059353799999,37.736202419499996,NC-3,NC-3,,POINT (-122.390593538 37.7362024195),0,Bayview Hunters Point,Standard Commercial
