ID,Project Status,Building Name,Planning Approval Street Number,Planning Approval Street Name,Mapping Address,Section 415 Declaration of Intent,Tenure,Total Units in Building or Phase,Total Units Subject to Section 415,Total BMRs in this Building or Phase,Total BMRs On-Site,Total BMRs Off-Site,Off-Site Units at this Site,Principal Project Address,Off-Site Address,Planning Approval Date,Completion Date,Neighborhood,Planning Neighborhood,Supervisor District,Plan Area,Location
188,Completed,555 Bartlett,3400,Cesar Chavez Street,"3400 Cesar Chavez St, San Francisco, CA, 94110",On-site BMR Project ,Ownership,58,58,9,9,0,0,,,04/19/2007,04/19/2010,Mission,Mission,9,Mission (Eastern Neighborhoods),"3400 Cesar Chavez St
San Francisco, CA 94110
"
256,Completed,1945 Hyde Street ,1945,Hyde Street,"1945 Hyde St, San Francisco, CA, 94109",Fee Payment ,Unknown,7,7,0,0,0,0,,,06/06/2011,01/01/2014,Russian Hill,Russian Hill,3,,"1945 Hyde St
San Francisco, CA 94109
(37.798882, -122.419007)"
246,Completed,537 Natoma Street,537,Natoma Street,"537 Natoma St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,13,13,1,1,0,0,,,01/01/2011,04/12/2013,South of Market,South of Market,6,East SoMa (Eastern Neighborhoods),"537 Natoma St
San Francisco, CA 94103
(37.779511, -122.408558)"
185,Completed,231 Franklin Street,231,Franklin Street ,"231 Franklin St, San Francisco, CA, 94102",Fee Payment ,Unknown,32,32,0,0,0,0,,,04/05/2007,07/02/2010,Hayes Valley,Downtown/Civic Center,5,Market and Octavia,"231 Franklin St
San Francisco, CA 94102
(37.776736, -122.421274)"
15,Completed,1099 Mississippi Street,1099,Mississippi Street,"1099 Mississippi St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,10,10,1,1,0,0,,,04/27/1995,01/01/2004,Potrero Hill,Potrero Hill,10,Bayview Hunters Point,"1099 Mississippi St
San Francisco, CA 94107
(37.752707, -122.393635)"
152,Completed,"One Rincon, Phase I",1,Rincon Hill (aka 425 First Street - Tower One Only),"425 1st St, San Francisco, CA, 94105",Fee Payment ,Ownership,382,382,0,0,0,0,,,08/04/2005,01/04/2008,Financial District,South of Market,6,Rincon Hill,"425 1st St
San Francisco, CA 94105
(37.785641, -122.392321)"
223,First Construction Document Issued,2655 Bush Street ,2655,Bush Street ,"2655 Bush St, San Francisco, CA, 94115",Fee Payment ,Unknown,81,81,0,0,0,0,,,07/16/2009,,Pacific Heights,Western Addition,2,,"2655 Bush St
San Francisco, CA 94115
(37.786097, -122.440731)"
13,Completed,Embarcadero Lofts ,300,Beale Street,"300 Beale St, San Francisco, CA, 94105",On-site BMR Project ,Ownership,67,67,6,6,0,0,,,04/06/1995,01/01/1998,Financial District,South of Market,6,Rincon Hill,"300 Beale St
San Francisco, CA 94105
(37.788404, -122.392376)"
143,Completed,Summit 800,800,Brotherhood Way,"800 Brotherhood Way, San Francisco, CA, 94132",Off-site BMR Project,Ownership,182,182,0,0,36,0,,833 Jamestown (19 of 196  rental units) & 1 Capitol (17 of 28 ownership units) ,05/19/2005,01/01/2015,Lakeshore,Lakeshore,7,,"800 Brotherhood Way
San Francisco, CA 94132
(37.714518, -122.476399)"
178,Completed,125 Mason,125,Mason Street,"125 Mason St, San Francisco, CA, 94102",Units for Off-site Project,Rental,81,0,81,0,0,81,301 Mission Street (Millennium Tower) ,,08/10/2006,08/26/2008,Tenderloin,Downtown/Civic Center,6,Downtown,"125 Mason St
San Francisco, CA 94102
(37.784734, -122.409398)"
320,First Construction Document Issued,520 9th Street,520,09th Street,"520 9th St, San Francisco, CA, 94103",Fee Payment ,Unknown,12,12,0,0,0,0,,,10/19/2014,,South of Market,South of Market,6,Showplace Square/Potrero Hill (Eastern Neighborhoods),"520 9th St
San Francisco, CA 94103
(37.770978, -122.408142)"
10,Completed,68 McCoppin ,68,McCoppin,"68 McCoppin St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,12,12,1,1,0,0,,,12/09/1993,01/01/1996,Mission,South of Market,6,Market and Octavia,"68 McCoppin St
San Francisco, CA 94103
(37.771634, -122.421839)"
157,Completed,55 Trumbull,4,Craut Street,"55 Trumbull St, San Francisco, CA, 94112",On-site BMR Project ,Rental,18,18,2,2,0,0,,,10/20/2005,04/07/2011,Excelsior,Excelsior,11,,"55 Trumbull St
San Francisco, CA 94112
(37.730795, -122.428675)"
391,Entitled/Approved,2000-2070 Bryant St,2000,Bryant Street,"2000 Bryant St, San Francisco, CA 94110",On-site BMR Project / Land Dedication,Rental,199,199,3,3,0,0,,,05/19/2016,,Mission,Mission,9,Mission (Eastern Neighborhoods),"2000 Bryant St
San Francisco, CA 94110
(37.761549, -122.410094)"
4,Completed,Potrero Square,701,Minnesota ,"701 Minnesota St, San Francisco, CA, 94107",On-site BMR Project ,Ownership,58,58,5,5,0,0,,,08/22/1991,01/01/1993,Potrero Hill,Potrero Hill,10,Central Waterfront (Eastern Neighborhoods),"701 Minnesota St
San Francisco, CA 94107
(37.76127, -122.39052)"
158,Completed,410 Jessie Street ,410,Jessie Street ,"410 Jessie St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,24,24,2,2,0,0,,,10/27/2005,08/28/2007,South of Market,South of Market,6,Downtown,"410 Jessie St
San Francisco, CA 94103
(37.782484, -122.407855)"
17,Completed,Hayes Street Gardens,342,Hayes Street,"342 Hayes St, San Francisco, CA, 94102",On-site BMR Project ,Ownership,14,14,1,1,0,0,,,05/12/1995,01/01/2004,Hayes Valley,Downtown/Civic Center,5,Market and Octavia,"342 Hayes St
San Francisco, CA 94102
(37.776978, -122.42213)"
34,Completed,Las Casitas,88,Hoff /3338 17th Street,"3338 17th St, San Francisco, CA, 94103",On-site BMR Project ,Ownership,60,60,6,6,0,0,,,08/06/1998,01/01/2000,Mission,Mission,9,Mission (Eastern Neighborhoods),"3338 17th St
San Francisco, CA 94103
(37.763375, -122.420675)"
