,BP_date,address,aff,affnet,apn,best_date,best_stat,comp_date,con_date,dbi_permit,dropped_out,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified
0,2012-02-17,500 CAPP ST,0.0,0.0,3610032,2015-09-29,CONSTRUCTION,10/01/2015,2015-04-01,201007015845,False,2009-08-14,2009-08-14,2009-08-14,2015-09-29,CONSTRUCTION,"('2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2012-02-17', '2012-02-17', '2015-04-01', '2015-05-27', '2015-07-30', '2015-09-29')",2239.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2015,Under Construction,2.0,1.0,-122.418185864,37.7585623509,RTO-M,RTO-M
0,2015-07-08,349 RICHLAND AV,0.0,0.0,5721077,2017-05-11,CONSTRUCTION,,2016-08-02,201303293381,False,2013-03-29,2013-03-29,2013-03-29,2017-05-11,CONSTRUCTION,"('2013-03-29', '2013-03-29', '2013-03-29', '2013-03-29', '2013-03-29', '2013-03-29', '2013-03-29', '2013-03-29', '2013-03-29', '2015-07-08', '2015-10-02', '2015-10-02', '2015-10-02', '2015-10-02', '2016-08-02', '2016-10-27', '2017-02-27', '2017-05-11')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,2.0,1.0,-122.4184494019,37.7359085083,RH-2,RH-2
0,,1340 ALABAMA ST,0.0,0.0,4271008,2015-11-24,CONSTRUCTION,01/01/2016,2014-03-12,201312134188,False,2013-12-13,2013-12-13,2013-12-13,2015-11-24,CONSTRUCTION,"('2013-12-13', '2014-03-12', '2014-03-12', '2014-03-12', '2014-03-12', '2014-03-12', '2014-03-12', '2014-03-12', '2015-11-24')",749.0,"('BP FILED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,2.0,1.0,-122.41100541200001,37.7502255371,RH-2,RH-2
0,2009-05-15,495 MORSE ST,0.0,0.0,6478031,2009-05-15,BP ISSUED,,,200707096216,True,2007-07-09,2009-05-15,2007-07-09,2009-05-15,BP ISSUED,"('2009-05-15', '2009-05-15', '2009-05-15', '2009-05-15', '2009-05-15', '2009-05-15', '2009-05-15', '2009-05-15', '2009-05-15', '2009-05-15')",,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",1,2016,Building Permit Approved,1.0,1.0,-122.44223899999999,37.7120502105,RH-1,RH-1
0,2017-09-12,4043 CESAR CHAVEZ ST,0.0,0.0,6580035,2017-09-12,BP ISSUED,,,201512215657,False,2015-12-21,2015-12-21,2015-12-21,2017-09-12,BP ISSUED,"('2015-12-21', '2015-12-21', '2015-12-21', '2015-12-21', '2015-12-21', '2015-12-21', '2017-09-12')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED')",2,2017,Building Permit Approved,2.0,2.0,-122.43022918700001,37.747261047399995,,
0,2013-05-07,222 02ND ST,0.0,0.0,3735063,2015-08-04,CONSTRUCTION,04/01/2016,2014-03-27,200711309386,False,2006-09-13,2007-11-30,2006-09-13,2015-08-04,CONSTRUCTION,"('2007-11-30', '2007-11-30', '2007-11-30', '2007-11-30', '2007-11-30', '2007-11-30', '2007-11-30', '2007-11-30', '2007-11-30', '2007-11-30', '2007-11-30', '2010-08-12', '2010-08-12', '2010-08-12', '2013-01-08', '2013-05-07', '2013-05-07', '2013-05-07', '2014-03-27', '2014-07-01', '2014-09-29', '2015-03-31', '2015-06-02', '2015-07-30', '2015-08-04', '2015-08-04', '2015-08-04')",3488.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'PL FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,0.0,0.0,-122.39823500000001,37.7863198103,C-3-O(SD),C-3-O(SD)
0,,2808 MARKET ST,,,2651008,2013-10-03,BP FILED,,,201310038412,True,2013-10-03,2013-10-03,2013-10-03,2013-10-03,BP FILED,"('2013-10-03',)",,"('BP FILED',)",4,2013,Proposed,2.0,1.0,-122.439323,37.761306,RM-1,RM-1
0,2008-04-25,1401 MARKET ST,,,3507041,2012-02-23,CONSTRUCTION,01/01/2014,2012-02-23,200607207084,False,2006-05-03,2008-04-25,2006-05-03,2012-02-23,CONSTRUCTION,"('2008-04-25', '2008-04-25', '2008-04-25', '2008-04-25', '2008-04-25', '2008-04-25', '2008-04-25', '2008-04-25', '2012-02-23', '2012-02-23', '2012-02-23', '2012-02-23', '2012-02-23', '2012-02-23', '2012-02-23', '2012-02-23')",2800.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2013,Under Construction,754.0,754.0,-122.4178279,37.776308799999995,C-3-G,C-3-G
0,,1400 16TH ST,0.0,0.0,3938001,2017-01-30,CONSTRUCTION,04/01/2017,2016-12-29,201607152520,False,2016-04-13,2016-12-29,2016-04-13,2017-01-30,CONSTRUCTION,"('2016-12-29', '2017-01-30')",353.0,"('CONSTRUCTION', 'CONSTRUCTION')",1,2017,Under Construction,0.0,0.0,-122.401301064,37.7668190449,PDR-1-D,PDR-1-D
0,2016-08-10,115 TELEGRAPH HILL BL,0.0,0.0,0105065,2017-09-22,CONSTRUCTION,,2017-09-22,201505227051,False,2015-05-22,2015-05-22,2015-05-22,2017-09-22,CONSTRUCTION,"('2015-05-22', '2015-05-22', '2015-05-22', '2015-05-22', '2015-05-22', '2016-08-10', '2016-08-10', '2016-08-10', '2017-09-22')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",2,2017,Under Construction,3.0,3.0,-122.40574646,37.801601409899995,,
