key,value
"PROJECT_TYPE",proj_type
"APN",apn
"NAMEADDR",address
"Alias",alias
"Entitled",entitled
"BESTSTAT",best_stat
"BESTDATE",best_date
"UNITS",units
"UNITSNET",unitsnet
"AFFORDABLE",aff
"AFFORDABLENET",affnet
"SECTION415",section415
"AFF_TARGET",afftarget
"TENURE_TYPE",tenure_type
"DA",da
"CASENO",caseno
"PLN_DESC",plndesc
"BPAPPLNO",dbi_permit
"BP_DESC",dbidesc
"COST",cost
"EXISTUSE",existuse
"PROPUSE",propuse
"TOTAL_GSF",total_gsf
"NET_GSF",net_gsf
"CIE_EXIST",exist_cie
"CIE",cult_inst_educ
"CIENET",net_cult_inst_educ
"MED_EXIST",exist_med
"MED",medical
"MEDNET",net_medical
"MIPS_EXIST",exist_mips
"MIPS",office
"MIPSNET",net_office
"PDR_EXIST", exist_pdr
"PDR",prod_dist_rep
"PDRNET",net_prod_dist_rep
"RET_EXIST", exist_ret
"RET",ret_ent
"RETNET",net_ret_ent
"VISIT_EXIST",exist_visit
"VISIT",visitor
"VISITNET",net_visitor
"PLANNER",planner
"APPLICANT",sponsor_name
"CONTACT",fullname
"CONTACTPH",contactphone
"NEWNEIGHBO",neighborhood
"Zoning_Simplified",zoning_simplified
"Zoning_Generalized",zoning_gen
"ZONING",zoning
"HEIGHTLIMIT",heightlimit
"SUPDIST",supdist
"PLNGAREA",planarea
"Location",location
